Date,Bus Route No.,From,To,Trips per Day,Way,Bus Stops Covered,Frequency (mins),Distance Travelled (km),Time (mins),Main Station,Tickets Sold,Revenue Generated (INR)
17-03-2022,83K,Chandrayan Gutta X Road,Secunderabad Bus Station,12,Round Trip,10,30,49.51,41,Ameerpet,331,8338.57
17-03-2022,187J,Jagadgirigutta,Balanagar X Road,12,One Way,12,10,5.36,34,Ameerpet,462,8785.48
18-03-2022,283D,Koti,L.B. Nagar Ring Road,13,One Way,11,15,19.07,82,Ameerpet,344,8279.59
18-03-2022,9K/272G,Chandrayan Gutta X Road,VV Nagar,20,Round Trip,19,5,5.29,105,Ameerpet,249,9584.87
18-03-2022,41N,MGBS,Gajula Ramaram,8,One Way,22,5,42.34,105,Ameerpet,278,4685.98
18-03-2022,218,MGBS,Shamshiguda,19,One Way,11,20,34.94,62,Ameerpet,312,11052.3
18-03-2022,185,Mehdipatnam,Hayathnagar,14,One Way,17,20,17.37,98,Ameerpet,238,12334.56
18-03-2022,41,BHEL,VV Nagar,8,Round Trip,17,30,46.74,40,Ameerpet,104,4881.62
18-03-2022,230X,Koti,Ameerpet,13,One Way,29,30,7.11,86,Ameerpet,299,13612.2
18-03-2022,222D,Borabanda,Gajula Ramaram,14,Round Trip,16,10,46.72,70,Ameerpet,192,14116.3
18-03-2022,218D,Uppal X Road,L.B. Nagar Ring Road,20,One Way,9,10,23.5,89,Ameerpet,308,2650.16
18-03-2022,225L,Jeedimetla,Hayathnagar,6,One Way,24,5,22.56,18,Ameerpet,108,4542.561319
18-03-2022,9X/272G,MGBS,Gandimaisamma,11,One Way,17,20,48.22,26,Ameerpet,210,6454.89
18-03-2022,90 U,Gandimaisamma X Road,Gajula Ramaram,14,Round Trip,23,30,42.17,74,Ameerpet,446,8503.31
18-03-2022,225M,Jagadgirigutta,Suraram,7,Round Trip,10,20,49.85,49,Ameerpet,354,2521.984615
18-03-2022,41,KPHB,Bachupally,10,One Way,16,15,24.35,49,Ameerpet,298,4612.79
18-03-2022,113C,Aramghar,Bachupally,20,Round Trip,18,30,15.61,20,Ameerpet,324,10418.26
18-03-2022,225S,L.B. Nagar,Shamshiguda,7,One Way,29,20,35.91,66,Ameerpet,140,3849.08
19-03-2022,105,Nagole Ring Road,Greenland Colony,12,Round Trip,16,14,52.34,13,Koti,144,3357.75
19-03-2022,86V,TSRTC pushpak,Kothagudem,16,One Way,33,35,44.05,,Koti,281,2075.44
19-03-2022,205M,Koti Women's College,Abdullapurmet,20,Round Trip,34,28,39.25,106,Koti,266,2507.66
19-03-2022,283D,Boduppal,Hayathnagar,6,One Way,18,15,24.03,47,Ameerpet,172,12871.41
19-03-2022,9X/171M,L.B. Nagar,VV Nagar,8,One Way,26,10,49.84,50,Ameerpet,132,11214.66
19-03-2022,83J/230,NGO Colony,Shamshiguda,17,Round Trip,19,15,43.44,25,Ameerpet,327,10684.82
19-03-2022,225M,NGO Colony,Suraram,9,One Way,9,30,28.44,20,Ameerpet,378,12106
19-03-2022,102B/218L,Chandrayan Gutta X Road,L.B. Nagar Ring Road,16,One Way,15,20,5.08,60,Ameerpet,206,4361.91
19-03-2022,272C,Chengicherla,Gandimaisamma,14,Round Trip,12,15,36.87,71,Ameerpet,400,7719.48
19-03-2022,218HG,Borabanda,Patancheru Bus Station,19,One Way,27,20,29.33,50,Ameerpet,448,13045.83
19-03-2022,223A,Uppal X Road,Gajula Ramaram,8,One Way,11,5,16.13,93,Ameerpet,243,12417.39
20-03-2022,40V,Secunderabad (Medchal),Marripally,2,Round Trip,19,59,71.15,85,Koti,370,4151.32
20-03-2022,201G,Madhapur Petrol Pump,Kavadi Pally,5,Round Trip,12,12,93.17,36,Koti,394,3186.78
20-03-2022,10H/250C,Rythu Bazar Erragadda,kondapur,4,One-way,6,34,6.16,30,Hitech City,373,4122.53
20-03-2022,218L/V,Kukatpally,Secunderabad Bus Station,7,Round Trip,13,20,10.62,21,Ameerpet,341,2386.282637
20-03-2022,189M/A,Dilsukhnagar,Bowrampet,10,Round Trip,16,5,48.35,82,Ameerpet,372,6821.41
20-03-2022,9M-1,Charminar,Ameerpet,13,One Way,28,5,47.74,80,Ameerpet,312,3656.508609
20-03-2022,223A,L.B. Nagar,Lingampally,18,One Way,28,5,27.8,43,Ameerpet,159,5416.77
20-03-2022,225S,Suraram,ESI,6,Round Trip,13,15,16.15,90,Ameerpet,158,8904
20-03-2022,19K,Aramghar,Kachiguda,20,Round Trip,6,20,8.97,50,Ameerpet,104,13536.32
20-03-2022,19M,MGBS,Kondapur Bus Station,9,Round Trip,18,5,10.54,39,Ameerpet,259,4135.85
20-03-2022,19F/A,Gandimaisamma X Road,Bowrampet,10,One Way,20,20,19.07,23,Ameerpet,433,9493.12
20-03-2022,218L,Koti,Film Nagar,8,One Way,9,10,38.04,22,Ameerpet,104,14884.22
20-03-2022,218C,Boduppal,ESI,10,Round Trip,5,30,38.87,62,Ameerpet,340,6502.8
20-03-2022,230N,Dilsukhnagar,Gandimaisamma,10,Round Trip,23,30,45.07,65,Ameerpet,273,111999.8
20-03-2022,225M,BHEL,Kondapur Bus Station,6,One Way,5,30,29.62,20,Ameerpet,206,3630.91
20-03-2022,83K,Suraram,Film Nagar,18,One Way,18,20,5.58,11,Ameerpet,326,69613.3
20-03-2022,272C,Central Bus Station,Nampally,20,Round Trip,9,5,42.62,26,Ameerpet,415,12526.19
21-03-2022,127LH,Hitech city,Hafeezpet MMTS Stop,13,Round-trip,6,27,44.51,16,Hitech City,118,1005.9
21-03-2022,189M,L.B. Nagar,Balanagar X Road,6,One Way,25,30,40.66,102,Ameerpet,483,11584.95
21-03-2022,189M,Kukatpally,Patancheru Bus Station,6,One Way,7,15,27.35,25,Ameerpet,100,10432.35
21-03-2022,19Y/F,Jeedimetla,Secunderabad Bus Station,13,One Way,5,20,25.94,86,Ameerpet,435,10245.87
21-03-2022,222D,Dilsukhnagar,Bachupally,12,Round Trip,18,20,8.07,69,Ameerpet,444,8930.9
21-03-2022,218L,Chengicherla,Kachiguda,5,Round Trip,23,30,12.76,62,Ameerpet,413,94593.2
21-03-2022,41N,Aramghar,Bowrampet,12,Round Trip,8,5,47.55,71,Ameerpet,286,14613.2
21-03-2022,19K,Jagadgirigutta,Gajula Ramaram,13,One Way,7,30,27.29,30,Ameerpet,479,12983.17
21-03-2022,90 U,Boduppal,Afzalgunj,13,One Way,26,10,23.34,10,Ameerpet,127,7509.72
21-03-2022,185S,Aramghar,Bachupally,17,One Way,6,15,11,100,Ameerpet,453,13058.13
21-03-2022,83K,NGO Colony,Bachupally,16,Round Trip,16,30,7.42,100,Ameerpet,215,9580.105817
22-03-2022,1P/25S,Nagole Ring Road,Ramoji Film City,18,One Way,10,16,9.01,46,Koti,467,1277.42
22-03-2022,105,Suchitra X Road,Kothagudem,7,Round Trip,36,16,97.33,58,Koti,155,4431.468325
22-03-2022,218,Chengicherla,Suraram,18,Round Trip,30,10,47.13,25,Ameerpet,116,12130.35
22-03-2022,218L,Central Bus Station,Gandimaisamma,19,One Way,14,5,41.85,107,Ameerpet,244,3059.79
22-03-2022,225,Allwyn Colony,Gajula Ramaram,12,One Way,7,5,33.62,27,Ameerpet,459,2544.27
22-03-2022,19M,Allwyn Colony,Gajula Ramaram,5,One Way,5,15,22.98,31,Ameerpet,317,3594.67
22-03-2022,19/224,Kukatpally,Gajula Ramaram,17,One Way,6,15,33.48,109,Ameerpet,374,12096.65377
22-03-2022,272C,Suraram,Ameerpet,13,One Way,23,30,44.32,102,Ameerpet,322,6138.21
22-03-2022,287N,Jagadgirigutta,ESI,10,One Way,30,10,24.8,119,Ameerpet,290,6669.88
22-03-2022,19M/224,NGO Colony,Kachiguda,20,Round Trip,21,30,39.08,108,Ameerpet,184,14409.09
22-03-2022,9X,Aramghar,Patancheru Bus Station,5,One Way,11,15,38.82,32,Ameerpet,472,14625.99
22-03-2022,113EL,Sanath Nagar,Bachupally,10,Round Trip,18,5,43.84,26,Ameerpet,425,2736.31
22-03-2022,9K/283K,Gandimaisamma X Road,Gajula Ramaram,19,One Way,11,15,24.84,13,Ameerpet,350,11217.55
22-03-2022,223A,Allwyn Colony,Kondapur Bus Station,13,One Way,7,15,33.05,70,Ameerpet,247,12910.7
22-03-2022,225L/299,Jagadgirigutta,Nampally,9,Round Trip,9,10,42.34,63,Ameerpet,469,5752.07
22-03-2022,225L/V,Koti,Gandimaisamma,6,One Way,20,30,24.2,86,Ameerpet,457,11857.63
22-03-2022,10H/250C,Aramghar,Bachupally,17,Round Trip,28,10,33.1,12,Ameerpet,443,4394.45
22-03-2022,183,Allwyn Colony,Shamshiguda,5,One Way,26,5,18.17,99,Ameerpet,444,8591.86
22-03-2022,223R,Koti,Balanagar X Road,11,One Way,27,30,29.88,70,Ameerpet,278,2062.57
22-03-2022,225L/V,Borabanda,Lingampally,14,Round Trip,30,30,20.23,100,Ameerpet,269,7511.84
22-03-2022,224H,KPHB,Balanagar X Road,6,One Way,18,20,29.46,86,Ameerpet,176,4560.53
23-03-2022,11,VBIT,Hafeezpet MMTS Stop,13,Round-trip,13,38,6.06,100,Hitech City,124,2995.58
23-03-2022,16A/47LI,Rythu Bazar Erragadda,Hafeezpet MMTS Stop,6,One-way,21,57,6.63,88,Hitech City,86,2328.76
23-03-2022,287N,Suraram,Hayathnagar,17,One Way,10,10,29.36,77,Ameerpet,146,5885.54
23-03-2022,287N,Charminar,Suraram,15,One Way,20,30,43.84,11,Ameerpet,109,3572.85
23-03-2022,113F,NGO Colony,Kondapur Bus Station,17,Round Trip,6,15,47.22,25,Ameerpet,259,6658.3
23-03-2022,189 MJ,Aramghar,Patancheru Bus Station,13,One Way,15,5,25.25,96,Ameerpet,350,9393.61
23-03-2022,272C,Borabanda,VV Nagar,19,Round Trip,21,30,9.59,36,Ameerpet,184,5047.12
23-03-2022,9K/272G,Dilsukhnagar,Gandimaisamma,18,Round Trip,11,30,37.89,40,Ameerpet,210,10902.91
23-03-2022,19F,Kukatpally,Hayathnagar,12,One Way,8,30,26.84,13,Ameerpet,142,13896.19
23-03-2022,83J/230,KPHB,Gajula Ramaram,10,One Way,24,10,24.28,29,Ameerpet,239,12623.89
24-03-2022,105,High Court Colony Deer Park,Dilsukhnagar,7,Round Trip,39,32,22.36,94,Koti,131,943.01
24-03-2022,,VBIT,Image Garden Bus Stop,8,Round-trip,14,34,41.8,92,Hitech City,308,3550.75
24-03-2022,189R,Mehdipatnam,Kachiguda,8,Round Trip,5,30,47.64,25,Ameerpet,466,6451.1
24-03-2022,218HG,Uppal X Road,Gandimaisamma,16,Round Trip,11,30,20.3,109,Ameerpet,242,4946.35
24-03-2022,225L/V,Gandimaisamma X Road,Kondapur Bus Station,7,Round Trip,6,30,27.39,42,Ameerpet,115,10079.48
24-03-2022,189M/92A,Koti,Afzalgunj,13,Round Trip,11,20,23.54,31,Ameerpet,331,10976.34
24-03-2022,83J/272G,Chandrayan Gutta X Road,Hayathnagar,8,One Way,15,15,39.47,24,Ameerpet,454,9363.66
24-03-2022,189M/92A,MGBS,Patancheru Bus Station,19,Round Trip,30,15,29.27,97,Ameerpet,197,12244.8
24-03-2022,83J/230,KPHB,Lingampally,7,Round Trip,17,15,42.04,74,Ameerpet,440,7447.32
24-03-2022,9D,L.B. Nagar,Bachupally,8,One Way,6,30,27.13,46,Ameerpet,317,6392.72
24-03-2022,185S,Kukatpally,Gandimaisamma,7,One Way,25,10,34.97,93,Ameerpet,231,11558.98
24-03-2022,225A,Borabanda,Gandimaisamma,19,Round Trip,12,20,42.4,81,Ameerpet,256,3751.9
24-03-2022,225A,Kukatpally,Hayathnagar,8,Round Trip,13,30,43.77,13,Ameerpet,287,9444.34
24-03-2022,183,Central Bus Station,Gajula Ramaram,10,One Way,14,30,38.9,66,Ameerpet,138,6984.36
24-03-2022,225A,Allwyn Colony,Bowrampet,9,One Way,15,20,33.65,29,Ameerpet,222,4885.36
24-03-2022,185S,Kukatpally,Kondapur Bus Station,5,Round Trip,5,10,14.17,114,Ameerpet,136,14399.51
25-03-2022,127,Koti Women's College,Marripally,5,Round Trip,36,18,28.29,110,Koti,193,1391.66
25-03-2022,225L/299,Central Bus Station,Nampally,5,Round Trip,29,20,20.97,43,Ameerpet,145,10381.15
25-03-2022,19F/A,Jagadgirigutta,Bowrampet,18,Round Trip,26,10,20.27,108,Ameerpet,380,6010.75
25-03-2022,10H/25S,Jeedimetla,Bachupally,7,One Way,15,15,22.02,74,Ameerpet,116,12927.81
25-03-2022,225,Sanath Nagar,Gandimaisamma,14,Round Trip,8,20,38.56,55,Ameerpet,234,8391.37
25-03-2022,10H/250C,Koti,Patancheru Bus Station,13,One Way,21,30,41.44,45,Ameerpet,179,6303.95
25-03-2022,19F/A,Borabanda,Shamshiguda,18,Round Trip,8,30,17.95,28,Ameerpet,190,3903.5
25-03-2022,90 D,BHEL,Ameerpet,9,Round Trip,27,30,22.71,34,Ameerpet,399,13018.09
25-03-2022,225L/299,MGBS,Shamshiguda,6,One Way,8,15,44.48,114,Ameerpet,112,6309.22
25-03-2022,90 U,Aramghar,Patancheru Bus Station,11,Round Trip,25,15,11.27,73,Ameerpet,459,14500.69
25-03-2022,223R,Chandrayan Gutta X Road,Ameerpet,16,One Way,10,20,13.46,47,Ameerpet,267,10919.13
25-03-2022,19M/224,Central Bus Station,ESI,9,One Way,14,15,13.93,77,Ameerpet,377,4624.92
25-03-2022,218L,Suraram,VV Nagar,11,Round Trip,26,30,22.7,20,Ameerpet,404,11345.49
26-03-2022,218D,KPHB,Suraram,13,One Way,28,30,44.31,97,Ameerpet,446,4048.73
26-03-2022,102B/218L,Aramghar,L.B. Nagar Ring Road,10,Round Trip,5,30,17.99,28,Ameerpet,119,5960.48
26-03-2022,183AJ,Central Bus Station,Gandimaisamma,9,One Way,27,30,11.93,111,Ameerpet,170,9920.46
26-03-2022,189M/92A,Chengicherla,Bachupally,15,Round Trip,15,10,36.77,31,Ameerpet,116,9605.27
26-03-2022,9K/283K,Chengicherla,Kachiguda,8,Round Trip,7,15,31.17,116,Ameerpet,329,4913.6
26-03-2022,218,Dilsukhnagar,Suraram,8,One Way,25,30,32.4,58,Ameerpet,458,14263.35
26-03-2022,19F,BHEL,Shamshiguda,18,Round Trip,15,30,7.31,56,Ameerpet,289,9424.88
26-03-2022,9K/283K,KPHB,Hayathnagar,19,One Way,8,20,48.28,20,Ameerpet,219,8781.07
26-03-2022,10H/25S,Chandrayan Gutta X Road,Hayathnagar,14,One Way,26,5,41.35,31,Ameerpet,383,10373.07
26-03-2022,9K/283K,MGBS,Lingampally,5,Round Trip,8,10,16.78,103,Ameerpet,405,5044.51
26-03-2022,230N,Uppal X Road,Suraram,9,One Way,17,10,10.79,117,Ameerpet,163,13872.48
26-03-2022,102B/218L,Charminar,Secunderabad Bus Station,8,One Way,15,30,22.17,95,Ameerpet,440,50617.7
26-03-2022,9X/272G,Mehdipatnam,Bachupally,6,Round Trip,16,10,22.03,87,Ameerpet,366,12951.91
26-03-2022,19F,Central Bus Station,Kondapur Bus Station,20,One Way,5,30,31.37,43,Ameerpet,464,12516.6
26-03-2022,187JL,Aramghar,VV Nagar,19,Round Trip,25,20,38.9,59,Ameerpet,155,14611.27
27-03-2022,207,Madhapur Petrol Pump,Sanghi Nagar,4,One Way,22,53,10.68,39,Koti,114,4007.59
27-03-2022,127K,HCU Bus Depot,Bachupally X Road,5,One-way,23,52,42.17,65,Hitech City,475,2040.592648
27-03-2022,187J,Suraram,Nampally,9,Round Trip,14,15,42.99,47,Ameerpet,363,11333.55
27-03-2022,9K/283K,Aramghar,Gajula Ramaram,9,Round Trip,12,20,30.63,93,Ameerpet,109,9314.96
27-03-2022,9X/171M,Jeedimetla,Secunderabad Bus Station,5,One Way,27,15,21.3,81,Ameerpet,472,13166.62
27-03-2022,9D,NGO Colony,VV Nagar,16,Round Trip,19,10,16.04,72,Ameerpet,335,7880.26
27-03-2022,218D,Dilsukhnagar,Bowrampet,9,One Way,7,30,16.69,104,Ameerpet,178,11350.25
27-03-2022,189R,Dilsukhnagar,Ameerpet,8,Round Trip,7,20,47.6,17,Ameerpet,109,13601.33
27-03-2022,224H,MGBS,VV Nagar,19,Round Trip,25,30,32.67,78,Ameerpet,336,9438.96
27-03-2022,189M,MGBS,ESI,16,One Way,12,10,37.46,40,Ameerpet,497,12174.23
27-03-2022,19M/224,L.B. Nagar,Bachupally,18,One Way,5,10,6.84,81,Ameerpet,449,10939.01
27-03-2022,218HG,Gandimaisamma X Road,Gajula Ramaram,12,Round Trip,22,30,21.58,120,Ameerpet,427,10636.03
27-03-2022,218HG,Allwyn Colony,Patancheru Bus Station,5,Round Trip,18,20,19.59,28,Ameerpet,366,8378.5
27-03-2022,9X/283D,Kukatpally,Shamshiguda,16,Round Trip,9,5,20.01,36,Ameerpet,141,6353.61
27-03-2022,113F,Sanath Nagar,ESI,18,One Way,29,10,18.14,17,Ameerpet,231,12424.24
27-03-2022,9K/272G,MGBS,Hayathnagar,13,Round Trip,27,15,29.12,120,Ameerpet,283,6996.04
27-03-2022,113C,Kukatpally,Lingampally,8,Round Trip,7,15,35.07,81,Ameerpet,441,3810.88
27-03-2022,218C,Chandrayan Gutta X Road,Gandimaisamma,12,Round Trip,15,20,7.07,96,Ameerpet,250,10590.64
27-03-2022,230X,Chengicherla,Balanagar X Road,20,One Way,20,10,16.42,77,Ameerpet,311,3790.53
27-03-2022,185S,Gandimaisamma X Road,Gajula Ramaram,13,One Way,24,20,13.45,101,Ameerpet,126,9626.68
27-03-2022,223A,Charminar,Kachiguda,7,One Way,30,5,38.71,79,Ameerpet,111,7440.68
28-03-2022,185,Allwyn Colony,Ameerpet,20,One Way,24,5,34.4,71,Ameerpet,327,7560.305395
28-03-2022,185S,Aramghar,Bowrampet,15,Round Trip,16,15,34.49,83,Ameerpet,113,6543.64
28-03-2022,225HP,MGBS,Kachiguda,15,Round Trip,15,5,21.96,60,Ameerpet,464,8148.92
28-03-2022,218/19M,Uppal X Road,Ameerpet,11,Round Trip,7,20,33.84,29,Ameerpet,214,12870.06
28-03-2022,183AJ,Borabanda,Ameerpet,6,One Way,27,30,27.69,59,Ameerpet,477,11031.55
28-03-2022,9X/171M,Kukatpally,Balanagar X Road,20,Round Trip,11,30,15.51,80,Ameerpet,430,7149.03
28-03-2022,9M-1,NGO Colony,Bachupally,17,One Way,12,30,45.18,61,Ameerpet,148,4744.21
29-03-2022,209,Suchitra X Road,Greenland Colony,20,Round Trip,46,16,34.58,11,Koti,245,1151.39
29-03-2022,218C,Jagadgirigutta,Afzalgunj,17,Round Trip,27,5,46,10,Ameerpet,160,7324.24
29-03-2022,83J/230,MGBS,Nampally,16,Round Trip,25,30,24.91,100,Ameerpet,104,10737.94
29-03-2022,19K,Chengicherla,Kachiguda,5,One Way,19,10,21.07,16,Ameerpet,367,8624.42
29-03-2022,41N,Kukatpally,Gandimaisamma,15,One Way,10,30,46.85,83,Ameerpet,400,9336.6
29-03-2022,19M/224,KPHB,Suraram,14,Round Trip,22,30,5.26,13,Ameerpet,133,13759.95
29-03-2022,218HG,Chengicherla,Bowrampet,8,One Way,18,10,44.47,34,Ameerpet,144,11195.68
29-03-2022,41,NGO Colony,Shamshiguda,13,Round Trip,30,30,22.36,53,Ameerpet,425,3855.11
29-03-2022,102B/218L,MGBS,Nampally,5,One Way,15,10,38.48,75,Ameerpet,410,21470.50723
29-03-2022,10H/250C,Allwyn Colony,Patancheru Bus Station,17,Round Trip,26,10,46.94,94,Ameerpet,482,9827.81
29-03-2022,225L/V,Central Bus Station,Suraram,12,Round Trip,12,10,34.98,56,Ameerpet,357,8856.77
29-03-2022,189R,Boduppal,Gajula Ramaram,13,One Way,26,10,33.79,108,Ameerpet,340,11908.87
29-03-2022,218C,Charminar,Balanagar X Road,17,One Way,27,30,30.62,94,Ameerpet,306,2733.91
29-03-2022,9X,Gandimaisamma X Road,Patancheru Bus Station,7,One Way,12,20,17.68,36,Ameerpet,471,8550.71
29-03-2022,189M,Allwyn Colony,L.B. Nagar Ring Road,13,One Way,23,10,29.55,47,Ameerpet,292,43371.7
29-03-2022,183AJ,KPHB,Bowrampet,14,One Way,5,20,10.95,100,Ameerpet,473,10877.8
29-03-2022,9X/283D,Suraram,Balanagar X Road,6,Round Trip,23,5,38.51,116,Ameerpet,475,13750.31378
30-03-2022,209,Madhapur Petrol Pump,Ramoji Film City,13,One Way,35,37,17.58,24,Koti,113,3713.57
30-03-2022,127K,VBIT,Image Garden Bus Stop,2,One-way,19,41,23.98,70,Hitech City,281,2986.78
30-03-2022,9M-1,Dilsukhnagar,Shamshiguda,10,One Way,8,10,14.05,88,Ameerpet,451,13307.82
30-03-2022,189M,Suraram,Film Nagar,20,One Way,9,10,41.88,88,Ameerpet,357,11175.72
30-03-2022,9M,Suraram,Balanagar X Road,18,Round Trip,10,15,46.92,73,Ameerpet,102,7713.33
30-03-2022,189M/92A,Jagadgirigutta,VV Nagar,6,One Way,10,30,20.64,62,Ameerpet,328,5562.93
30-03-2022,9X/171M,Gandimaisamma X Road,Patancheru Bus Station,15,Round Trip,9,20,28.35,57,Ameerpet,304,6786.37
30-03-2022,102B/218L,Allwyn Colony,VV Nagar,18,Round Trip,17,30,9.43,31,Ameerpet,293,6380.82
30-03-2022,90 U,Boduppal,Kachiguda,18,One Way,26,10,24.91,94,Ameerpet,485,7719.69
30-03-2022,19/224,Chandrayan Gutta X Road,ESI,18,Round Trip,20,10,21.16,66,Ameerpet,404,10145.69
30-03-2022,10H/250C,L.B. Nagar,Shamshiguda,17,One Way,13,30,21.79,83,Ameerpet,369,8261.43
30-03-2022,19K,NGO Colony,ESI,20,Round Trip,18,15,34.57,47,Ameerpet,283,10519.11
30-03-2022,218/19M,Dilsukhnagar,Ameerpet,6,One Way,6,30,31.51,68,Ameerpet,403,9943.26
30-03-2022,189 MJ,BHEL,Gajula Ramaram,7,One Way,8,15,33.68,92,Ameerpet,132,3027.38
30-03-2022,218C,Charminar,ESI,16,One Way,27,15,29.98,70,Ameerpet,374,5888.98
30-03-2022,218L,Allwyn Colony,Film Nagar,20,One Way,5,20,48.56,67,Ameerpet,428,11734.35
30-03-2022,189M/92A,Koti,Suraram,17,Round Trip,15,20,25.79,119,Ameerpet,318,8859.79
30-03-2022,222D,L.B. Nagar,VV Nagar,18,One Way,13,30,19.75,50,Ameerpet,400,7087.8
30-03-2022,222D,L.B. Nagar,Gajula Ramaram,13,One Way,11,15,30.86,85,Ameerpet,412,13411.71
30-03-2022,41,NGO Colony,Hayathnagar,19,Round Trip,14,5,18.74,41,Ameerpet,362,4858.95
31-03-2022,189 MJ,Chandrayan Gutta X Road,Lingampally,10,One Way,15,5,33.44,18,Ameerpet,289,13882.32
31-03-2022,10H/250C,Dilsukhnagar,Afzalgunj,17,One Way,10,20,15.53,14,Ameerpet,180,3089.55
31-03-2022,189 MJ,Koti,Hayathnagar,5,Round Trip,28,10,34,87,Ameerpet,350,13109.24
31-03-2022,218HG,Koti,Patancheru Bus Station,17,Round Trip,6,10,10.9,20,Ameerpet,117,8557.88
31-03-2022,230X,Suraram,Lingampally,11,One Way,5,10,34.9,113,Ameerpet,285,11419.46
31-03-2022,19M/224,Central Bus Station,Lingampally,15,One Way,29,10,25.73,63,Ameerpet,384,5615.67
31-03-2022,189M,Kukatpally,Patancheru Bus Station,14,One Way,29,5,24.48,81,Ameerpet,481,11864.53
31-03-2022,218L,Chandrayan Gutta X Road,Afzalgunj,14,Round Trip,20,5,10.74,67,Ameerpet,458,5944.73
31-03-2022,187JL,Boduppal,Nampally,15,Round Trip,12,30,13.06,79,Ameerpet,284,4388.24
31-03-2022,230X,Chengicherla,Lingampally,12,One Way,18,15,44.6,95,Ameerpet,297,2438.64
31-03-2022,230N,Chandrayan Gutta X Road,Nampally,9,Round Trip,9,5,19.59,26,Ameerpet,183,13954.03
31-03-2022,9K/283K,Chandrayan Gutta X Road,Afzalgunj,5,One Way,29,10,26.62,116,Ameerpet,372,3309.19
31-03-2022,189M/A,Central Bus Station,VV Nagar,9,One Way,16,5,37.41,37,Ameerpet,208,12166.87
31-03-2022,218/19M,Borabanda,VV Nagar,17,One Way,30,30,34.27,74,Ameerpet,398,11924.87
31-03-2022,185S,L.B. Nagar,VV Nagar,14,Round Trip,19,15,12.65,46,Ameerpet,258,9408.13
01-04-2022,195W,HCU Bus Depot,Infosys,14,Round-trip,12,59,39.03,80,Hitech City,124,4576.38
01-04-2022,195W,Sai Nagar Colony,Safilguda,17,Round-trip,16,36,14.72,73,Hitech City,322,3035.56
01-04-2022,230X,MGBS,Lingampally,15,Round Trip,23,5,41.23,22,Ameerpet,204,9058.031537
01-04-2022,187J,Kukatpally,Suraram,5,One Way,5,10,44.32,58,Ameerpet,261,2458.63
01-04-2022,83J/272G,Uppal X Road,Hayathnagar,20,Round Trip,26,10,18.92,79,Ameerpet,412,9575.85
01-04-2022,9X,Kukatpally,ESI,15,One Way,27,20,47.54,114,Ameerpet,418,14284.83
01-04-2022,9X/272G,Suraram,Hayathnagar,6,Round Trip,23,15,44.23,53,Ameerpet,101,2306.33
01-04-2022,225L,Chandrayan Gutta X Road,Nampally,20,One Way,18,5,19.35,37,Ameerpet,165,14658.02
01-04-2022,113EL,Suraram,L.B. Nagar Ring Road,9,Round Trip,29,10,9.34,98,Ameerpet,334,4917.68
01-04-2022,9X/283D,Charminar,Ameerpet,6,One Way,10,10,16.7,86,Ameerpet,187,3712.52
01-04-2022,218HG,Sanath Nagar,VV Nagar,12,Round Trip,24,10,28.28,118,Ameerpet,212,2530.44
01-04-2022,113C,Borabanda,Gajula Ramaram,17,Round Trip,22,30,38.49,38,Ameerpet,175,7501.63
01-04-2022,218C,Allwyn Colony,Balanagar X Road,20,One Way,20,20,12.55,45,Ameerpet,269,39741.7
02-04-2022,127,TSRTC pushpak,Kothagudem,15,One Way,10,54,88.76,54,Koti,217,3579.6
02-04-2022,83K,Aramghar,Kondapur Bus Station,15,Round Trip,19,15,37.03,33,Ameerpet,411,5757.55
02-04-2022,113EL,Mehdipatnam,Shamshiguda,8,Round Trip,25,30,29.5,101,Ameerpet,170,5694.54
02-04-2022,9X/272G,MGBS,Film Nagar,16,One Way,11,30,46.91,58,Ameerpet,429,10068.28
02-04-2022,189 MJ,L.B. Nagar,Patancheru Bus Station,7,Round Trip,10,30,24.15,98,Ameerpet,308,121585.4
02-04-2022,9X/283D,NGO Colony,L.B. Nagar Ring Road,17,Round Trip,25,10,33.18,55,Ameerpet,203,11763.36
02-04-2022,19K,Aramghar,Gandimaisamma,19,Round Trip,18,15,21.32,16,Ameerpet,100,12830.76
02-04-2022,224H,Boduppal,Balanagar X Road,19,One Way,30,20,7.21,44,Ameerpet,292,3604.23
02-04-2022,9D,Jeedimetla,L.B. Nagar Ring Road,12,One Way,11,15,6.41,57,Ameerpet,250,4232.42
02-04-2022,113C,Borabanda,Kondapur Bus Station,18,Round Trip,18,15,34.77,29,Ameerpet,430,4728.84
02-04-2022,218L,KPHB,L.B. Nagar Ring Road,19,One Way,5,5,35.83,103,Ameerpet,199,14040.41
02-04-2022,189M,Central Bus Station,Gajula Ramaram,9,One Way,29,30,49.48,48,Ameerpet,123,9117.53
02-04-2022,113F,Central Bus Station,Afzalgunj,11,Round Trip,20,30,9.26,35,Ameerpet,132,4611.66
02-04-2022,189M/A,BHEL,Kondapur Bus Station,12,Round Trip,15,10,41.53,25,Ameerpet,388,5411.49
03-04-2022,218L,Boduppal,L.B. Nagar Ring Road,17,Round Trip,25,5,45.52,98,Ameerpet,188,4838.03
03-04-2022,9 YF,Mehdipatnam,Suraram,20,Round Trip,8,5,42.75,113,Ameerpet,316,7823.1
